lambda in nm;D in ps/nm/km
666,967;-228,215
675,608;-217,807
684,248;-207,4
691,809;-198,48
699,37;-190,055
709,091;-180,64
718,812;-170,729
726,373;-162,8
736,094;-154,872
744,734;-146,448
754,455;-138,52
763,096;-131,583
773,897;-123,655
784,698;-116,224
794,419;-108,791
805,221;-101,855
814,941;-95,9103
824,662;-89,9653
836,544;-83,5255
846,265;-78,572
858,146;-72,6279
871,107;-66,6842
886,229;-59,75
899,19;-54,3021
913,231;-48,3589
928,353;-42,9119
944,554;-36,9695
957,516;-32,5131
970,477;-28,0567
987,759;-22,6106
1001,8;-18,1547
1014,76;-14,194
1026,64;-11,2244
1039,6;-7,26376
1055,81;-3,30445
1069,85;-0,335749
1082,81;2,13765
1100,09;5,60077
1119,53;9,55874
1138,97;13,5167
1157,34;16,4836
1178,94;20,4407
1196,22;22,9123
1215,66;25,8788
1234,02;28,8457
1249,14;30,5
1265,35;32,7988
1283,71;35,27
1302,07;37,7411
1319,35;40,3
1336,63;41,8
1360,4;44,6575
1377,68;46,6334
1394,96;48,6093
1412,24;50,5851
1429,52;52,561
1446,8;53,7
1467,33;55,8
1486,77;56,9991
1510,53;58,9723
1531,05;60,9468
1551,58;62,4256
1572,1;63,9044
1595,86;64,886
1616,38;66,3648
1636,9;67,3478
1657,43;68,6
1673,63;69,3157
1696,31;70,2978